,FIPS Code,State,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
565,12041,FL,14.6,42.1,29.9,13.4
566,12045,FL,14.5,35.8,30.4,19.2
567,12055,FL,14.3,38.8,29.8,17.2
568,12061,FL,10.6,30.4,29.8,29.1
569,12065,FL,18.0,34.7,25.0,22.3
570,12071,FL,11.6,31.0,29.2,28.2
571,12073,FL,6.5,19.0,28.3,46.2
572,12081,FL,10.3,30.1,29.9,29.8
573,12083,FL,12.4,36.9,30.6,20.1
574,12085,FL,9.0,24.9,32.0,34.1
575,12091,FL,7.6,24.7,36.5,31.1
576,12105,FL,15.0,34.7,30.1,20.2
577,12111,FL,13.7,33.2,31.5,21.6
578,12113,FL,8.7,26.8,36.8,27.7
579,12115,FL,6.9,28.9,28.8,35.4
580,12119,FL,7.9,30.4,30.0,31.8
581,12127,FL,9.5,31.8,35.0,23.7
582,12129,FL,12.3,36.2,33.2,18.3
583,12131,FL,10.9,28.5,32.1,28.5
584,13007,GA,19.4,37.9,29.8,12.9
585,13021,GA,14.0,30.5,30.1,25.4
586,13025,GA,21.1,44.6,25.4,8.9
587,13027,GA,14.9,35.0,32.4,17.8
588,13029,GA,8.4,24.3,34.2,33.1
589,13033,GA,19.9,38.3,28.5,13.2
590,13047,GA,12.5,32.9,33.2,21.4
591,13051,GA,10.1,24.2,32.1,33.6
592,13053,GA,5.7,28.3,36.5,29.5
593,13059,GA,12.0,19.9,24.1,44.0
594,13073,GA,7.3,23.8,32.6,36.4
595,13079,GA,16.9,40.0,32.6,10.5
596,13083,GA,19.3,37.7,27.9,15.2
597,13095,GA,16.6,30.2,31.8,21.4
598,13101,GA,25.8,41.9,22.5,9.7
599,13103,GA,11.7,37.5,30.8,20.0
600,13115,GA,17.6,34.3,27.2,20.9
601,13127,GA,11.9,26.7,31.5,29.9
602,13139,GA,20.9,27.7,26.9,24.5
603,13145,GA,7.8,23.7,37.1,31.4
604,13153,GA,8.4,27.0,36.2,28.3
605,13169,GA,10.9,39.2,30.3,19.6
606,13173,GA,20.0,37.9,25.6,16.5
607,13177,GA,9.1,29.8,35.7,25.4
608,13179,GA,9.3,31.6,40.9,18.3
609,13181,GA,17.9,39.7,26.6,15.9
610,13183,GA,12.3,34.7,35.5,17.4
611,13185,GA,13.4,31.4,29.9,25.3
612,13189,GA,16.6,41.6,27.7,14.0
613,13191,GA,14.8,37.4,30.2,17.6
614,13195,GA,16.8,39.8,24.9,18.5
615,13197,GA,22.2,35.5,28.9,13.4
616,13207,GA,14.3,33.3,25.6,26.8
617,13213,GA,29.3,37.4,23.2,10.1
618,13215,GA,12.0,27.4,34.9,25.8
619,13219,GA,5.5,19.3,22.9,52.3
620,13221,GA,20.3,38.9,23.8,17.1
621,13225,GA,17.0,29.8,32.6,20.5
622,13235,GA,18.9,36.8,31.1,13.2
623,13245,GA,15.9,31.4,31.4,21.4
624,13273,GA,22.5,32.3,33.9,11.2
625,13289,GA,25.8,38.5,23.9,11.8
626,13295,GA,18.0,35.2,30.1,16.6
627,13313,GA,30.5,29.4,24.3,15.7
628,13321,GA,17.1,42.7,29.2,11.0
629,15003,HI,8.1,25.9,31.0,35.0
630,15005,HI,9.7,27.4,38.7,24.2
631,15009,HI,8.0,31.3,33.5,27.2
632,16001,ID,4.8,22.4,34.3,38.5
633,16005,ID,7.5,26.4,38.2,27.8
634,16015,ID,5.7,30.6,36.6,27.1
635,16019,ID,8.0,25.4,35.2,31.3
636,16023,ID,7.2,36.0,40.6,16.2
637,16027,ID,14.9,32.1,34.4,18.7
638,16041,ID,9.7,37.8,34.8,17.7
639,16045,ID,12.2,37.0,33.4,17.5
640,16051,ID,9.8,25.5,40.0,24.7
641,16055,ID,6.8,27.2,40.7,25.2
642,16069,ID,8.0,32.1,37.0,22.9
643,16073,ID,23.9,33.4,30.8,12.0
644,17003,IL,13.5,40.7,32.9,12.9
645,17007,IL,13.8,34.8,27.9,23.5
646,17019,IL,5.0,22.0,28.0,45.0
647,17039,IL,8.5,37.8,32.5,21.3
648,17053,IL,9.6,35.5,33.6,21.4
649,17073,IL,8.8,33.7,34.2,23.3
650,17077,IL,8.1,24.1,33.7,34.1
651,17091,IL,11.8,34.4,33.0,20.8
652,17113,IL,4.1,24.6,26.5,44.8
653,17115,IL,9.6,35.4,32.9,22.1
654,17123,IL,7.1,39.4,34.6,18.9
655,17129,IL,5.9,35.8,34.3,24.0
656,17131,IL,8.1,39.6,35.0,17.4
657,17143,IL,9.1,27.6,32.7,30.6
658,17147,IL,6.1,33.9,31.4,28.6
659,17161,IL,11.4,29.5,35.6,23.5
660,17167,IL,7.5,27.2,30.8,34.5
661,17175,IL,8.7,41.6,32.6,17.0
662,17179,IL,7.3,31.7,34.7,26.3
663,17183,IL,11.5,41.2,32.5,14.7
664,17199,IL,7.7,31.1,36.9,24.3
665,17201,IL,12.3,31.7,33.1,22.9
666,17203,IL,5.2,31.3,30.3,33.2
667,18003,IN,10.6,28.2,32.6,28.5
668,18005,IN,9.4,30.8,26.3,33.5
669,18007,IN,10.1,42.8,30.9,16.1
670,18015,IN,11.6,40.8,31.0,16.7
671,18021,IN,8.6,43.8,30.6,17.0
672,18035,IN,10.3,35.1,30.9,23.7
673,18039,IN,19.2,34.7,26.3,19.8
674,18067,IN,10.5,35.9,32.0,21.6
675,18091,IN,11.5,39.6,30.9,18.0
676,18105,IN,7.3,22.2,24.8,45.7
677,18119,IN,14.6,44.4,27.9,13.1
678,18129,IN,6.6,38.2,33.3,21.9
679,18141,IN,11.5,30.7,28.2,29.6
680,18153,IN,11.3,44.2,32.4,12.1
681,18157,IN,8.4,25.4,27.5,38.7
682,18163,IN,9.9,32.5,30.6,27.0
683,18165,IN,9.0,43.4,33.4,14.2
684,18167,IN,11.6,32.0,31.2,25.1
685,18173,IN,6.8,31.3,31.7,30.3
686,18179,IN,7.8,40.2,33.8,18.2
687,18183,IN,8.2,39.2,31.9,20.7
688,19011,IA,5.9,36.9,35.0,22.1
689,19013,IA,8.6,30.5,31.8,29.1
690,19017,IA,3.6,32.9,32.8,30.7
691,19049,IA,4.4,17.7,27.6,50.4
692,19061,IA,7.3,32.7,29.2,30.8
693,19075,IA,5.4,31.6,35.1,27.9
694,19077,IA,6.9,38.9,34.4,19.8
695,19085,IA,8.5,37.2,34.9,19.5
696,19103,IA,5.1,16.3,25.9,52.8
697,19105,IA,7.7,39.6,33.3,19.5
698,19113,IA,5.5,27.0,34.3,33.1
699,19121,IA,5.8,36.6,33.2,24.5
700,19129,IA,7.2,34.1,34.6,24.1
701,19149,IA,6.9,33.9,36.1,23.2
702,19153,IA,8.5,24.5,30.3,36.7
703,19155,IA,10.5,32.7,35.3,21.5
704,19163,IA,7.2,29.6,31.4,31.8
705,19169,IA,2.8,17.4,28.1,51.6
706,19181,IA,4.6,30.8,32.7,31.9
707,19183,IA,8.6,39.3,30.3,21.8
708,19193,IA,12.9,32.2,31.8,23.1
709,20015,KS,7.5,25.9,36.9,29.8
710,20043,KS,9.7,36.8,32.4,21.1
711,20045,KS,4.6,18.4,27.4,49.6
712,20079,KS,9.5,23.7,33.5,33.2
713,20085,KS,5.4,39.0,35.3,20.2
714,20087,KS,6.5,39.7,30.6,23.2
715,20095,KS,6.4,33.0,36.2,24.4
716,20139,KS,9.2,39.1,32.4,19.2
717,20149,KS,5.8,29.1,31.4,33.8
718,20161,KS,4.2,19.1,31.1,45.6
719,20173,KS,10.4,26.3,32.4,30.9
720,20177,KS,7.8,31.4,29.9,30.9
721,20191,KS,7.7,34.9,34.1,23.3
722,20197,KS,4.6,34.9,36.3,24.2
723,21003,KY,17.9,38.5,27.5,16.1
724,21017,KY,16.0,35.6,28.9,19.4
725,21019,KY,11.8,33.9,35.0,19.4
726,21031,KY,20.4,42.9,22.8,13.9
727,21047,KY,14.4,31.0,36.4,18.1
728,21049,KY,13.8,34.3,31.8,20.1
729,21059,KY,10.0,34.1,32.9,22.9
730,21061,KY,21.9,39.3,28.5,10.3
731,21067,KY,8.8,19.6,28.0,43.6
732,21089,KY,11.0,36.0,35.9,17.1
733,21091,KY,14.6,43.4,30.6,11.4
734,21093,KY,9.5,30.4,38.1,22.0
735,21101,KY,13.1,36.0,32.7,18.2
736,21113,KY,12.7,30.5,27.3,29.5
737,21123,KY,16.0,39.2,32.4,12.4
738,21149,KY,12.7,41.2,32.6,13.5
739,21163,KY,11.3,35.5,33.8,19.4
740,21209,KY,9.0,30.3,32.3,28.4
741,21221,KY,12.0,33.2,38.3,16.6
742,21227,KY,11.9,26.6,29.3,32.2
743,21239,KY,8.9,29.8,27.5,33.8
744,22001,LA,21.0,41.3,24.3,13.3
745,22005,LA,11.4,32.3,29.9,26.4
746,22015,LA,10.3,29.7,34.8,25.2
747,22017,LA,13.0,33.7,29.8,23.5
748,22019,LA,13.2,34.1,30.5,22.3
749,22023,LA,15.3,40.3,31.8,12.7
750,22031,LA,17.4,42.6,25.1,14.8
751,22033,LA,9.5,27.3,28.3,34.9
752,22037,LA,20.0,43.5,23.9,12.7
753,22043,LA,17.5,46.8,27.1,8.5
754,22045,LA,20.1,43.7,22.7,13.6
755,22047,LA,20.4,41.3,24.4,13.9
756,22055,LA,11.4,30.4,25.2,33.0
757,22057,LA,21.8,40.5,20.8,16.9
758,22063,LA,14.8,38.1,27.4,19.7
759,22073,LA,13.5,34.1,28.2,24.2
760,22077,LA,20.2,39.3,25.6,14.9
761,22079,LA,14.5,36.7,27.9,20.9
762,22091,LA,22.5,38.5,22.4,16.7
763,22099,LA,18.1,43.0,24.4,14.5
764,22105,LA,16.4,37.2,26.5,20.0
765,22109,LA,21.0,38.9,24.4,15.6
766,22111,LA,14.3,44.8,23.6,17.2
767,22113,LA,22.1,41.3,22.4,14.2
768,22119,LA,16.1,42.0,26.5,15.4
769,22121,LA,12.8,37.2,28.0,22.0
770,22125,LA,17.9,31.8,26.1,24.2
771,23001,ME,9.8,35.5,32.0,22.8
772,23005,ME,4.9,22.2,25.4,47.6
773,23019,ME,8.0,33.6,30.7,27.7
774,23023,ME,6.0,30.0,27.7,36.4
775,23031,ME,6.8,30.0,30.7,32.5
776,24001,MD,9.8,41.8,29.5,18.9
777,24037,MD,10.2,30.3,27.6,31.9
778,24039,MD,18.7,39.7,27.2,14.4
779,24043,MD,12.8,36.5,28.8,21.9
780,24045,MD,12.8,32.3,27.7,27.2
781,24047,MD,8.7,31.8,30.5,29.0
782,25001,MA,4.5,23.7,28.3,43.4
783,25003,MA,8.7,29.4,28.4,33.6
784,25013,MA,14.2,30.7,28.0,27.1
785,25015,MA,5.3,22.6,23.8,48.3
786,25027,MA,9.3,27.8,26.6,36.4
787,26015,MI,7.3,37.7,33.8,21.1
788,26017,MI,9.5,34.6,36.6,19.3
789,26021,MI,10.3,28.1,33.8,27.8
790,26025,MI,9.0,36.8,33.2,21.0
791,26027,MI,12.3,33.2,35.4,19.2
792,26037,MI,5.5,26.8,35.7,32.1
793,26045,MI,5.7,27.7,38.8,27.8
794,26049,MI,9.4,31.6,37.8,21.2
795,26065,MI,7.1,22.0,32.1,38.9
796,26075,MI,9.2,32.6,36.0,22.2
797,26077,MI,6.4,22.0,32.8,38.8
798,26081,MI,9.3,24.1,30.9,35.7
799,26111,MI,5.8,28.9,30.1,35.2
800,26115,MI,8.6,35.2,35.7,20.5
801,26117,MI,11.3,40.4,34.9,13.3
802,26121,MI,8.7,34.0,37.5,19.7
803,26139,MI,7.0,28.2,30.7,34.1
804,26145,MI,10.6,33.3,35.3,20.8
805,26159,MI,12.9,31.3,34.1,21.7
806,26161,MI,4.7,14.6,24.7,55.9
807,27009,MN,8.3,29.9,38.3,23.6
808,27013,MN,5.5,26.5,33.2,34.8
809,27017,MN,6.0,32.1,39.7,22.1
810,27027,MN,5.1,23.7,37.0,34.2
811,27039,MN,5.1,33.3,35.9,25.7
812,27045,MN,9.0,34.1,34.7,22.2
813,27055,MN,4.9,34.2,36.1,24.8
814,27103,MN,6.0,25.2,35.0,33.8
815,27109,MN,5.4,19.9,29.8,44.9
816,27119,MN,8.1,30.6,35.9,25.3
817,27137,MN,5.5,27.2,38.0,29.3
818,27145,MN,8.3,28.0,36.2,27.5
819,27157,MN,6.6,33.0,36.7,23.7
820,28029,MS,19.8,34.4,31.3,14.5
821,28035,MS,12.6,27.2,32.4,27.8
822,28045,MS,12.5,28.1,37.3,22.0
823,28047,MS,11.7,29.1,36.1,23.1
824,28049,MS,12.5,25.0,33.5,29.0
825,28059,MS,11.3,31.2,36.4,21.1
826,28073,MS,10.6,24.2,31.1,34.1
827,28089,MS,8.3,17.0,26.3,48.4
828,28111,MS,17.0,40.4,31.8,10.7
829,28121,MS,10.5,26.7,33.8,29.0
830,28127,MS,20.3,30.1,33.4,16.2
831,28163,MS,21.1,38.6,26.8,13.4
832,29003,MO,8.3,37.4,29.5,24.9
833,29017,MO,20.2,47.3,23.6,8.9
834,29019,MO,5.5,21.3,27.1,46.1
835,29021,MO,11.7,37.8,29.4,21.1
836,29027,MO,13.8,36.1,27.0,23.1
837,29031,MO,9.0,31.2,28.3,31.5
838,29043,MO,8.0,29.4,34.0,28.6
839,29051,MO,7.7,29.7,29.3,33.3
840,29059,MO,16.6,44.5,26.0,12.9
841,29063,MO,12.7,47.1,26.4,13.8
842,29077,MO,8.2,28.0,33.3,30.5
843,29097,MO,13.3,33.6,29.6,23.6
844,29119,MO,22.4,41.3,24.8,11.5
845,29135,MO,14.6,40.1,24.8,20.5
846,29145,MO,12.9,34.5,32.6,20.0
847,29151,MO,10.1,43.7,27.3,18.9
848,29167,MO,11.6,39.0,29.5,19.9
849,29225,MO,13.9,37.3,32.0,16.8
850,30009,MT,5.8,31.1,32.7,30.4
851,30013,MT,8.2,32.8,33.3,25.7
852,30037,MT,8.0,40.7,28.5,22.7
853,30063,MT,4.4,21.7,31.0,43.0
854,30111,MT,5.9,30.2,31.8,32.1
855,31025,NE,5.6,29.9,36.8,27.7
856,31043,NE,23.5,35.3,28.2,13.0
857,31051,NE,12.1,35.3,31.4,21.2
858,31055,NE,9.4,21.4,29.5,39.7
859,31079,NE,15.4,31.3,31.8,21.5
860,31081,NE,4.9,30.0,40.1,25.0
861,31093,NE,5.1,36.2,37.5,21.1
862,31109,NE,6.3,21.5,32.6,39.5
863,31121,NE,5.8,35.3,41.1,17.8
864,31153,NE,4.5,21.7,34.0,39.8
865,31155,NE,6.8,31.0,36.8,25.4
866,31159,NE,6.0,28.6,36.5,28.9
867,31177,NE,4.4,31.6,34.0,29.9
868,32029,NV,6.4,27.8,34.5,31.4
869,32031,NV,11.4,23.5,34.3,30.8
870,32510,NV,13.0,26.0,38.9,22.2
871,33011,NH,7.9,25.8,28.2,38.1
872,34001,NJ,13.0,32.0,26.9,28.1
873,34009,NJ,7.5,32.0,27.7,32.8
874,34011,NJ,20.6,39.4,24.4,15.6
875,34021,NJ,11.5,24.6,21.3,42.6
876,34041,NJ,8.5,30.6,27.9,33.0
877,35001,NM,11.1,23.2,31.3,34.4
878,35013,NM,20.6,22.7,29.6,27.1
879,35043,NM,10.1,25.5,34.0,30.5
880,35045,NM,15.1,30.5,39.5,14.9
881,35049,NM,10.7,22.3,26.0,41.0
882,35057,NM,15.4,37.7,32.0,14.8
883,35061,NM,15.5,33.0,32.9,18.5
884,36001,NY,7.9,23.0,27.4,41.8
885,36007,NY,9.3,31.5,30.8,28.4
886,36015,NY,9.7,35.3,31.7,23.3
887,36043,NY,10.2,36.9,31.4,21.5
888,36045,NY,9.0,34.7,34.1,22.2
889,36053,NY,8.0,34.8,31.0,26.2
890,36065,NY,11.5,31.9,30.9,25.7
891,36067,NY,9.0,25.4,29.7,35.9
892,36075,NY,11.8,37.5,31.7,19.0
893,36083,NY,8.1,29.0,30.9,32.0
894,36091,NY,6.0,24.9,27.8,41.4
895,36093,NY,9.3,29.5,29.1,32.1
896,36095,NY,10.3,35.7,31.5,22.4
897,36107,NY,8.8,35.9,29.2,26.0
898,36109,NY,5.6,19.0,21.9,53.5
899,36111,NY,9.3,29.7,28.6,32.5
900,36113,NY,8.1,30.6,30.0,31.3
901,36115,NY,12.1,38.7,28.6,20.5
902,37001,NC,13.7,27.7,33.8,24.8
903,37003,NC,17.6,38.7,29.5,14.2
904,37019,NC,8.7,27.9,33.5,29.9
905,37021,NC,8.9,23.2,27.7,40.1
906,37023,NC,18.4,31.4,33.8,16.4
907,37027,NC,20.0,32.5,31.7,15.7
908,37035,NC,14.1,30.0,33.3,22.6
909,37037,NC,11.1,21.2,25.4,42.4
910,37049,NC,11.2,26.0,37.5,25.3
911,37051,NC,9.0,25.9,39.5,25.5
912,37057,NC,16.1,32.8,32.6,18.5
913,37059,NC,12.2,32.0,31.8,24.0
914,37063,NC,11.6,17.7,22.4,48.2
915,37065,NC,18.9,37.5,30.1,13.6
916,37067,NC,10.8,25.7,29.5,34.0
917,37081,NC,10.9,23.3,29.8,36.0
918,37087,NC,12.0,26.4,35.7,26.0
919,37089,NC,10.1,24.2,34.0,31.8
920,37093,NC,12.9,28.7,40.6,17.7
921,37103,NC,18.9,34.4,34.6,12.2
922,37115,NC,13.0,31.3,27.2,28.5
923,37127,NC,14.4,33.7,31.1,20.8
924,37129,NC,6.8,21.3,31.3,40.6
925,37133,NC,8.5,30.0,38.6,22.9
926,37135,NC,7.3,13.6,19.4,59.7
927,37137,NC,12.0,31.0,38.4,18.5
928,37141,NC,12.2,27.6,32.2,27.9
929,37145,NC,13.5,37.4,33.5,15.6
930,37147,NC,10.7,23.8,32.8,32.7
931,37151,NC,18.5,33.5,32.3,15.7
932,37157,NC,17.3,34.9,32.7,15.1
933,37169,NC,16.2,40.0,29.7,14.1
934,37191,NC,15.5,30.5,35.0,19.0
935,37197,NC,17.7,33.8,36.9,11.6
936,38015,ND,5.7,22.7,35.8,35.8
937,38017,ND,5.2,20.1,34.6,40.2
938,38035,ND,4.9,22.2,37.3,35.6
939,38059,ND,8.1,29.4,35.7,26.9
940,38065,ND,8.7,30.8,39.4,21.1
941,38085,ND,16.3,32.4,36.3,15.0
942,39003,OH,9.7,38.8,32.5,18.9
943,39013,OH,9.8,42.4,31.1,16.7
944,39019,OH,10.5,49.7,26.5,13.3
945,39023,OH,11.3,37.9,32.1,18.7
946,39051,OH,8.7,41.7,31.9,17.6
947,39057,OH,6.2,24.5,30.1,39.2
948,39081,OH,9.0,44.8,30.4,15.8
949,39087,OH,12.5,43.9,28.7,14.9
950,39095,OH,10.7,29.7,33.3,26.3
951,39099,OH,9.1,37.6,29.1,24.2
952,39109,OH,8.8,36.6,31.3,23.3
953,39113,OH,9.9,27.8,34.5,27.9
954,39133,OH,7.6,36.6,26.8,29.0
955,39139,OH,13.1,39.4,29.3,18.3
956,39151,OH,8.4,38.2,30.6,22.8
957,39153,OH,8.3,30.2,29.1,32.5
958,39155,OH,10.6,44.5,26.1,18.7
959,39173,OH,5.7,30.7,30.1,33.5
960,40031,OK,10.0,32.8,35.1,22.2
961,40033,OK,15.5,41.8,28.9,13.7
962,40037,OK,12.6,40.0,30.4,17.0
963,40079,OK,16.5,41.1,27.8,14.6
964,40111,OK,13.7,36.0,36.2,14.1
965,40113,OK,11.7,38.1,32.1,18.0
966,40117,OK,11.2,44.2,27.9,16.6
967,40131,OK,8.0,32.1,35.1,24.9
968,40135,OK,18.7,38.6,28.2,14.4
969,40143,OK,10.6,25.4,32.2,31.8
970,40145,OK,9.4,32.9,34.5,23.2
971,41003,OR,4.1,13.3,28.5,54.1
972,41017,OR,6.3,21.8,36.5,35.4
973,41029,OR,9.9,26.1,36.2,27.8
974,41033,OR,9.6,31.0,41.9,17.5
975,41039,OR,8.1,23.2,38.2,30.5
976,41043,OR,10.5,29.0,41.2,19.3
977,41047,OR,14.8,26.6,35.1,23.5
978,41053,OR,9.1,23.5,36.4,31.0
979,42001,PA,11.2,39.9,26.6,22.3
980,42011,PA,13.3,36.7,25.1,24.9
981,42013,PA,8.6,45.0,25.1,21.3
982,42021,PA,8.0,45.4,25.5,21.1
983,42025,PA,10.6,45.3,26.2,17.9
984,42027,PA,5.7,29.4,19.4,45.5
985,42037,PA,9.7,43.0,24.4,22.9
986,42041,PA,7.7,32.0,23.8,36.6
987,42043,PA,10.2,33.2,25.8,30.8
988,42049,PA,8.7,38.5,24.9,27.9
989,42055,PA,11.7,43.1,23.5,21.6
990,42069,PA,9.0,36.9,25.9,28.3
991,42071,PA,15.0,35.3,22.5,27.3
992,42075,PA,12.8,44.0,22.5,20.7
993,42077,PA,11.0,32.9,26.1,29.9
994,42079,PA,10.2,39.0,28.0,22.9
995,42081,PA,9.9,38.9,27.8,23.4
996,42085,PA,10.1,43.0,24.1,22.8
997,42089,PA,10.4,35.1,29.9,24.7
998,42093,PA,9.4,40.1,18.9,31.6
999,42095,PA,9.1,34.5,26.1,30.3
1000,42099,PA,12.6,47.4,23.4,16.7
1001,42131,PA,7.8,46.4,26.2,19.6
1002,42133,PA,10.1,39.6,25.5,24.9
1003,45003,SC,12.0,32.8,28.8,26.4
1004,45007,SC,14.7,31.2,31.8,22.2
1005,45013,SC,7.2,22.3,29.3,41.2
1006,45015,SC,10.6,29.4,34.9,25.0
1007,45017,SC,13.8,36.2,30.1,19.9
1008,45019,SC,8.3,22.7,25.3,43.6
1009,45031,SC,17.6,35.1,28.8,18.4
1010,45035,SC,10.3,27.3,34.2,28.2
1011,45037,SC,17.1,36.7,29.6,16.7
1012,45039,SC,13.8,41.3,28.0,16.9
1013,45041,SC,15.0,32.9,28.5,23.6
1014,45045,SC,12.0,23.8,29.2,35.1
1015,45051,SC,10.4,32.5,33.5,23.6
1016,45053,SC,18.2,37.5,26.5,17.8
1017,45055,SC,12.2,36.5,31.0,20.3
1018,45059,SC,19.1,33.8,30.9,16.2
1019,45063,SC,10.4,28.2,31.1,30.4
1020,45077,SC,14.7,29.1,30.3,26.0
1021,45079,SC,8.5,22.5,29.9,39.1
1022,45081,SC,21.8,35.2,26.2,16.8
1023,45083,SC,14.3,29.3,31.9,24.5
1024,45085,SC,14.5,30.8,35.4,19.3
1025,45087,SC,18.8,40.0,29.9,11.3
1026,46033,SD,6.4,35.0,35.1,23.5
1027,46083,SD,5.2,23.0,34.3,37.6
1028,46087,SD,11.3,35.0,29.5,24.1
1029,46093,SD,5.6,28.7,38.5,27.2
1030,46099,SD,7.5,26.4,33.0,33.1
1031,46103,SD,6.5,27.5,34.5,31.5
1032,46125,SD,8.0,33.7,34.6,23.7
1033,46127,SD,7.4,29.5,32.5,30.6
1034,47001,TN,13.0,32.9,30.8,23.3
1035,47009,TN,10.9,34.6,30.3,24.2
1036,47011,TN,14.7,32.1,30.9,22.3
1037,47013,TN,22.7,40.6,24.2,12.4
1038,47019,TN,16.5,38.6,27.4,17.5
1039,47023,TN,14.8,39.1,30.1,16.0
1040,47033,TN,18.8,40.5,26.8,13.8
1041,47057,TN,21.4,42.8,25.1,10.7
1042,47063,TN,18.7,38.6,25.9,16.8
1043,47065,TN,10.5,26.9,30.4,32.2
1044,47073,TN,15.6,42.7,27.9,13.7
1045,47089,TN,14.7,39.1,29.5,16.8
1046,47093,TN,8.3,25.3,28.8,37.6
1047,47105,TN,13.8,32.4,27.4,26.4
1048,47113,TN,11.1,35.3,27.9,25.6
1049,47115,TN,18.5,38.7,30.1,12.8
1050,47125,TN,7.1,28.5,36.0,28.5
1051,47129,TN,19.7,48.5,22.4,9.4
1052,47139,TN,17.6,39.4,31.1,11.9
1053,47145,TN,11.1,36.3,32.9,19.8
1054,47153,TN,18.4,39.1,27.4,15.1
1055,47163,TN,12.8,34.7,28.8,23.6
1056,47171,TN,15.0,39.4,30.8,14.8
1057,47173,TN,22.9,44.8,22.4,9.9
1058,47179,TN,11.2,28.9,28.1,31.8
1059,48007,TX,15.5,31.2,31.4,21.9
1060,48009,TX,9.7,35.4,31.0,23.9
1061,48011,TX,13.1,22.4,41.6,22.8
1062,48027,TX,9.0,26.0,39.9,25.2
1063,48037,TX,11.2,34.8,33.3,20.6
1064,48041,TX,12.8,19.2,26.3,41.7
1065,48051,TX,17.5,38.4,26.8,17.3
1066,48059,TX,11.8,35.8,31.4,21.0
1067,48061,TX,32.1,26.4,24.2,17.3
1068,48065,TX,6.7,32.0,32.9,28.4
1069,48077,TX,9.5,36.9,32.2,21.4
1070,48099,TX,12.0,28.1,43.8,16.1
1071,48107,TX,24.0,35.9,27.0,13.2
1072,48135,TX,24.0,30.3,30.2,15.4
1073,48141,TX,21.5,23.7,31.4,23.3
1074,48145,TX,23.1,38.4,26.0,12.4
1075,48175,TX,17.0,26.5,39.2,17.3
1076,48181,TX,11.3,30.1,38.2,20.4
1077,48183,TX,15.9,28.2,34.6,21.3
1078,48199,TX,12.0,38.2,32.9,16.8
1079,48215,TX,34.3,23.5,23.5,18.7
1080,48229,TX,44.5,30.6,14.2,10.7
1081,48235,TX,6.8,37.6,40.5,15.0
1082,48245,TX,15.8,31.9,32.6,19.7
1083,48253,TX,21.6,38.6,28.1,11.7
1084,48281,TX,9.0,29.4,41.7,19.9
1085,48303,TX,13.8,25.6,30.4,30.1
1086,48305,TX,24.6,29.4,28.7,17.3
1087,48309,TX,15.1,27.0,33.6,24.2
1088,48317,TX,22.6,33.0,26.1,18.3
1089,48329,TX,15.5,25.7,31.5,27.4
1090,48351,TX,16.6,42.9,30.8,9.7
1091,48355,TX,17.2,29.3,31.7,21.8
1092,48359,TX,9.7,37.2,31.1,22.0
1093,48361,TX,12.1,37.2,35.2,15.5
1094,48375,TX,23.0,32.0,30.1,14.9
1095,48381,TX,7.7,22.8,37.1,32.4
1096,48395,TX,15.5,35.5,32.9,16.1
1097,48401,TX,19.4,31.8,33.4,15.5
1098,48409,TX,20.1,32.7,31.6,15.6
1099,48423,TX,14.2,23.4,35.9,26.4
1100,48441,TX,10.7,31.0,33.1,25.2
1101,48451,TX,13.7,30.2,31.6,24.5
1102,48459,TX,14.2,34.4,34.3,17.1
1103,48469,TX,16.2,30.8,33.0,20.0
1104,48479,TX,32.4,25.3,23.3,18.9
1105,48485,TX,13.4,31.7,31.8,23.1
1106,49003,UT,6.9,31.0,38.1,23.9
1107,49005,UT,6.9,20.2,34.6,38.3
1108,49011,UT,4.4,21.2,36.7,37.8
1109,49023,UT,8.9,38.6,36.6,16.0
1110,49029,UT,1.9,19.6,39.2,39.4
1111,49049,UT,5.4,16.4,37.4,40.8
1112,49053,UT,7.1,23.4,41.5,28.1
1113,49057,UT,9.4,29.6,36.6,24.5
1114,50007,VT,5.6,19.0,24.1,51.3
1115,50011,VT,9.3,37.9,28.7,24.1
1116,50013,VT,7.1,27.0,26.1,39.8
1117,51003,VA,7.9,15.8,21.2,55.1
1118,51009,VA,14.4,36.0,30.6,19.1
1119,51011,VA,14.1,33.9,31.1,20.9
1120,51015,VA,12.6,38.7,25.9,22.7
1121,51019,VA,10.0,30.2,30.6,29.2
1122,51023,VA,7.2,32.3,32.1,28.3
1123,51029,VA,20.2,42.8,24.6,12.5
1124,51031,VA,12.8,32.2,32.5,22.5
1125,51045,VA,9.2,37.5,29.7,23.6
1126,51063,VA,13.0,35.7,29.3,22.1
1127,51065,VA,8.9,24.1,33.0,33.9
1128,51067,VA,11.9,34.9,31.4,21.9
1129,51069,VA,10.8,32.4,28.5,28.3
1130,51071,VA,11.1,38.7,32.1,18.1
1131,51079,VA,13.9,28.6,28.4,29.0
1132,51121,VA,6.8,23.4,24.4,45.5
1133,51125,VA,14.3,35.2,20.2,30.4
1134,51155,VA,12.6,33.2,34.2,20.0
1135,51161,VA,7.7,25.0,31.8,35.6
1136,51165,VA,16.0,35.1,22.5,26.3
1137,51169,VA,18.6,38.1,30.0,13.3
